{SIL} {SIL}
<UNK> <UNK>
{NOISE} {NOISE}
{COUGH} {COUGH}
{BREATH} {BREATH}
売 M AI4
譞 X VAN1
糍 C IY2
经 J ING1
懵 M ENG3
狁 VV VN3
璨 C AN4
厕 C E4
菅 J IAN1
击 J I1
蹭 C ENG4
湾 UU UAN1
嘏 G U3
曐 X ING1
装 ZH UANG1
拎 L IN1
鸨 B AO3
徕 L AI2
秧 II IANG1
旯 L A2
喃 N AN2
砬 L A2
吵 CH AO3
幵 Q IAN1
埦 UU UAN3
蝈 G UO1
题 T I2
凌 L ING2
艾 AA AI4
咣 G UANG1
饵 EE ER3
泰 T AI4
高 G AO1
娱 VV V2
駹 M ANG2
锩 J VAN4
鲫 J I4
彪 B IAO1
猞 SH E1
屌 D IAO3
威 UU UI1
搐 CH U4
悟 UU U4
琴 Q IN2
彐 J I4
溆 X V4
掌 ZH ANG3
韪 UU UI3
廨 X IE4
检 J IAN3
铅 Q IAN1
僰 B O2
钞 CH AO1
襻 P AN4
掖 II IE1
俑 II IONG3
惟 UU UI2
蟆 M A2
蚊 UU UN2
留 L IU2
炮 B AO1
妁 SH UO4
澹 T AN2
芋 VV V4
抒 SH U1
辉 H UI1
脒 M I3
蒐 S OU1
剁 D UO4
桔 J IE2
苕 SH AO2
擀 G AN3
脆 C UI4
跺 D UO4
荬 M AI3
琯 G UAN3
裂 L IE4
踫 P ENG4
旧 J IU4
乍 ZH A4
某 M OU3
蓁 ZH EN1
晁 CH AO2
运 VV VN4
售 SH OU4
泥 N I2
诇 X IONG4
宵 X IAO1
氿 G UI3
触 CH U4
窠 K E1
耳 EE ER3
跬 K UI3
技 J I4
烙 L AO4
驷 S IY4
渔 VV V2
磅 B ANG4
组 Z U3
窝 UU UO1
阼 Z UO4
坌 B EN4
矶 J I1
丂 K AO3
灌 G UAN4
苁 C ONG1
躐 L IE4
袺 J IE2
僭 J IAN4
嵊 SH ENG4
蒽 EE EN1
锊 L VE4
覂 F ENG3
汳 B IAN4
儒 R U2
扽 D EN4
滂 P ANG1
躝 L AN2
樲 EE ER4
烤 K AO3
傎 D IAN1
桓 H UAN2
癔 II I4
唯 UU UI2
弭 M I3
彻 CH E4
枫 F ENG1
怙 H U4
禽 Q IN2
瑾 J IN3
场 CH ANG3
槐 H UAI2
零 L ING2
搁 G E1
酰 X IAN1
寝 Q IN3
筵 II IAN2
缴 J IAO3
绸 CH OU2
绐 D AI4
嘿 H EI1
玊 S U4
再 Z AI4
进 J IN4
献 X IAN4
笋 S UN3
偃 II IAN3
性 X ING4
粕 P O4
泵 B ENG4
腱 J IAN4
持 CH IX2
柊 ZH ONG1
序 X V4
柎 F U1
糠 K ANG1
舫 F ANG3
锝 D E2
燚 II I4
白 B AI2
觍 T IAN3
较 J IAO4
乀 F U2
菡 H AN4
烔 T ONG2
刁 D IAO1
志 ZH IX4
玛 M A3
积 J I1
绕 R AO4
箭 J IAN4
馊 S OU1
蛴 Q I2
禺 OO OU3
橧 Z ENG1
渉 SH E4
裼 T I4
圬 UU U1
宇 VV V3
框 K UANG4
删 SH AN1
穴 X VE2
苯 B EN3
锋 F ENG1
臂 B I4
案 AA AN4
跤 J IAO1
刺 C IY4
崚 L ENG2
镀 D U4
破 P O4
妮 N I1
刲 K UI1
荄 G AI1
骡 L UO2
祭 ZH AI4
匙 CH IX2
掍 H UN4
鞨 H E2
套 T AO4
钫 F ANG1
秾 N ONG2
濒 B IN1
暒 Q ING2
培 P EI2
丐 G AI4
怃 UU U3
皲 J VN1
馋 CH AN2
泼 P O1
速 S U4
脂 ZH IX1
琨 K UN1
佗 T UO2
蔫 N IAN1
惶 H UANG2
仙 X IAN1
焘 D AO4
聋 L ONG2
耶 II IE1
惕 T I4
碍 AA AI4
鳜 G UI4
荟 H UI4
胤 II IN4
忿 F EN4
舍 SH E3
飚 B IAO1
毡 ZH AN1
祁 Q I2
煺 T UI4
碚 B EI4
瞬 SH UN4
蜜 M I4
菹 Z U1
険 X IAN3
佾 II I4
哳 ZH A1
覃 Q IN2
喧 X VAN1
溦 UU UI1
薛 X VE1
倜 T I4
暂 Z AN4
铕 II IU3
溺 N I4
颚 EE E4
肮 AA ANG1
鲈 L U2
橥 ZH U1
赶 G AN3
帔 P EI4
茌 CH IX2
糙 C AO1
綖 II IAN2
钱 Q IAN2
沷 F A1
吾 UU U2
挞 T A4
鹓 VV VAN1
绳 SH ENG2
罡 G ANG1
塑 S U4
啉 L IN2
楣 M EI2
翌 II I4
铮 ZH ENG1
粑 B A1
瞒 M AN2
双 SH UANG1
戦 ZH AN4
诬 UU U1
稞 K E1
眷 J VAN4
篝 G OU1
竽 VV V2
懋 M AO4
毗 P I2
蒹 J IAN1
卿 Q ING1
葫 H U2
垆 L U2
面 M IAN4
哨 SH AO4
攺 II I3
祷 D AO3
槿 J IN3
罩 ZH AO4
堌 G U4
劫 J IE2
挂 G UA4
録 L U4
足 Z U2
基 J I1
郎 L ANG2
嘧 M I4
阆 L ANG2
均 J VN1
茱 ZH U1
嫄 VV VAN2
仗 ZH ANG4
剀 K AI3
霊 L ING2
官 G UAN1
摽 B IAO1
绿 L V4
牺 X I1
曚 M ENG2
强 J IANG4
箓 L U4
宬 CH ENG2
倢 J IE2
昴 M AO3
么 M E5
堆 D UI1
鄢 II IAN1
耸 S ONG3
左 Z UO3
嗷 AA AO2
蚰 II IU2
末 M O4
丹 D AN1
菁 J ING1
渺 M IAO3
略 L VE4
朦 M ENG2
杆 G AN1
查 CH A2
鲅 B A4
酥 S U1
掎 J I3
沓 T A4
反 F AN3
炤 ZH AO4
踺 J IAN4
袱 F U2
妖 II IAO1
陬 Z OU1
糌 Z AN1
锗 ZH E3
宰 Z AI3
斤 J IN1
艄 SH AO1
湩 D ONG4
欐 L I4
W D A2 B U5 L IU5
炭 T AN4
氚 CH UAN1
趣 Q V4
甫 F U3
哥 G E1
嵫 Z IY1
蚬 X IAN3
旻 M IN2
拗 AA AO4
嵋 M EI2
锠 CH ANG1
鄬 UU UI2
头 T OU2
逑 Q IU2
绅 SH EN1
毪 M U2
侨 Q IAO2
疵 C IY1
苹 P ING2
秫 SH U2
倍 B EI4
廛 CH AN2
呱 G U1
粘 N IAN2
崎 Q I2
孽 N IE4
榴 L IU2
曹 C AO2
孥 N U2
暇 X IA2
骋 CH ENG3
裔 II I4
埋 M AI2
徽 H UI1
叮 D ING1
储 CH U3
悌 T I4
颇 P O1
伴 B AN4
坚 J IAN1
屑 X IE4
窘 J IONG3
马 M A3
侁 SH EN1
阔 K UO4
匿 N I4
项 X IANG4
胃 UU UI4
戳 CH UO1
娅 II IA4
羑 II IU3
籁 L AI4
嗑 K E4
苾 B I4
秉 B ING3
逻 L UO2
湣 M IN3
余 VV V2
觥 G ONG1
冰 B ING1
血 X IE3
叭 B A1
铆 M AO3
铗 J IA2
臼 J IU4
郧 VV VN2
蜮 VV V4
都 D OU1
仳 P I3
霓 N I2
蔚 UU UI4
班 B AN1
楚 CH U3
谷 G U3
埸 II I4
瞟 P IAO3
歃 SH A4
族 Z U2
梦 M ENG4
谈 T AN2
轮 L UN2
毛 M AO2
悝 K UI1
考 K AO3
曲 Q V1
黻 F U2
璘 L IN2
撰 ZH UAN4
怂 S ONG3
辘 L U4
昳 D IE2
颀 Q I2
尙 SH ANG4
滋 Z IY1
龃 J V3
娇 J IAO1
铩 SH A1
锨 X IAN1
檗 B O4
哺 B U3
宴 II IAN4
艽 J IAO1
拣 J IAN3
猁 L I4
継 J I4
但 D AN4
射 SH E4
果 G UO3
侉 K UA3
萍 P ING2
鸹 G UA1
于 VV V2
柩 J IU4
勾 G OU1
颁 B AN1
濛 M ENG2
靓 J ING4
策 C E4
浈 ZH EN1
姮 H ENG2
薜 B I4
条 T IAO2
谱 P U3
涘 S IY4
趁 CH EN4
逄 P ANG2
帛 B O2
扉 F EI1
乡 X IANG1
惜 X I1
粺 B AI4
的 D E5
只 ZH IX1
菀 UU UAN3
曛 X VN1
起 Q I3
敎 J IAO4
醴 L I3
嘈 C AO2
匏 P AO2
祐 II IU4
舢 SH AN1
壴 ZH U4
腭 EE E4
观 G UAN1
奚 X I1
谀 VV V2
笔 B I3
蛭 ZH IX4
豇 J IANG1
搓 C UO1
昕 X IN1
嚯 H UO4
情 Q ING2
珩 H ENG2
败 B AI4
傕 J VE2
陇 L ONG3
坯 P I1
噗 P U1
梵 F AN4
肫 ZH UN1
侗 D ONG4
贾 G U3
簸 B O3
化 H UA4
圩 UU UI2
噜 L U1
瑢 R ONG2
铎 D UO2
朱 ZH U1
硝 X IAO1
鸷 ZH IX4
桟 ZH AN4
妞 N IU1
鲮 L ING2
佽 C IY4
映 II ING4
屮 CH E4
悠 II IU1
姻 II IN1
创 CH UANG1
黉 H ONG2
矫 J IAO3
硻 K ENG1
菸 II IAN1
啴 CH AN3
哧 CH IX1
赟 VV VN1
稍 SH AO1
玘 Q I3
挤 J I3
荷 H E2
岜 B A1
泔 G AN1
吕 L V3
禧 X I3
帧 ZH EN1
胀 ZH ANG4
睨 N I4
顼 X V4
轸 ZH EN3
氾 F AN4
羮 G ENG1
苴 J V1
夹 J IA1
针 ZH EN1
貉 H E2
姣 J IAO1
莺 II ING1
民 M IN2
敖 AA AO2
羿 II I4
缝 F ENG2
醉 Z UI4
畑 T IAN2
縂 Z ONG3
吋 C UN4
掀 X IAN1
跏 J IA1
窟 K U1
缊 VV VN1
缘 VV VAN2
煸 B IAN1
滟 II IAN4
锇 EE E2
乒 P ING1
羁 J I1
襦 R U2
无 UU U2
髅 L OU2
噱 J VE2
邯 H AN2
皇 H UANG2
觚 G U1
殉 X VN4
健 J IAN4
椴 D UAN4
呵 AA A1
翱 AA AO2
忽 H U1
骰 T OU2
惯 G UAN4
髋 K UAN1
柸 P EI1
鲷 D IAO1
燊 SH EN1
饶 R AO2
槃 P AN2
谓 UU UI4
至 ZH IX4
镈 B O2
単 D AN1
晨 CH EN2
暴 B AO4
憩 Q I4
庇 B I4
仏 F O2
拘 J V1
烹 P ENG1
弥 M I2
棒 B ANG4
缺 Q VE1
堀 K U1
瓘 G UAN4
聱 AA AO2
耄 M AO4
劼 J IE2
卞 B IAN4
辚 L IN2
疸 D A5
豕 SH IX3
狡 J IAO3
胨 D ONG4
胂 SH EN4
乚 II IA4
湑 X V3
券 Q VAN4
怨 VV VAN4
瓢 P IAO2
篮 L AN2
嚬 P IN2
蹿 C UAN1
桦 H UA4
鑳 J IAN4
照 ZH AO4
忘 UU UANG4
垅 L ONG3
誃 CH IX3
荆 J ING1
哩 L I3
柱 ZH U4
鎏 L IU2
姜 J IANG1
牲 SH ENG1
演 II IAN3
脍 K UAI4
铐 K AO4
闵 M IN3
冒 M AO4
熠 II I4
挢 J IAO3
瘫 T AN1
巩 G ONG3
砻 L ONG2
幺 II IAO1
芽 II IA2
罍 L EI2
嗫 N IE4
榈 L V2
瘙 S AO4
并 B ING4
觞 SH ANG1
椐 J V1
菟 T U4
幞 F U2
姹 CH A4
辅 F U3
苊 EE E4
汙 UU U1
辽 L IAO2
轻 Q ING1
窈 II IAO3
镓 J IA1
刑 X ING2
逹 D A2
唧 J I1
涂 T U2
蔻 K OU4
骖 C AN1
靡 M I2
醅 P EI1
砦 ZH AI4
渌 L U4
湟 H UANG2
迕 UU U3
鹂 L I2
佯 II IANG2
淦 G AN4
五 UU U3
疽 J V1
庋 G UI3
手 SH OU3
呷 X IA1
燡 II I4
聊 L IAO2
节 J IE2
冽 L IE4
硚 Q IAO2
送 S ONG4
栩 X V3
庆 Q ING4
救 J IU4
癌 AA AI2
冥 M ING2
烘 H ONG1
骢 C ONG1
蜀 SH U3
态 T AI4
氽 T UN3
塬 VV VAN2
杏 X ING4
邗 H AN2
扒 B A1
觊 J I4
梓 Z IY3
吅 S ONG4
冖 M I4
懦 N UO4
葆 B AO3
烝 ZH ENG1
蓉 R ONG2
砒 P I1
韶 SH AO2
嗔 CH EN1
忍 R EN3
騑 F EI1
泣 Q I4
嚜 M E5
壮 ZH UANG4
剞 J I1
龙 L ONG2
活 H UO2
箠 CH UI2
麽 M O2
筹 CH OU2
困 K UN4
挌 G E2
刎 UU UN3
樟 ZH ANG1
链 L IAN4
砑 II IA4
焯 CH AO1
怒 N U4
蕈 X VN4
柙 X IA2
女 N V3
裰 D UO1
镝 D I1
途 T U2
铑 L AO3
柞 Z UO4
抖 D OU3
定 D ING4
笊 ZH AO4
劝 Q VAN4
獗 J VE2
探 T AN4
泱 II IANG1
蒌 L OU2
菴 AA AN1
棕 Z ONG1
犹 II IU2
澥 X IE4
鎯 L ANG2
削 X IAO1
垌 D ONG4
沪 H U4
歇 X IE1
鄯 SH AN4
帼 G UO2
覌 G UAN1
潢 H UANG2
邂 X IE4
骁 X IAO1
估 G U1
噍 J IAO4
伱 N I3
镐 G AO3
瞵 L IN2
铃 L ING2
榕 R ONG2
快 K UAI4
崭 ZH AN3
缤 B IN1
肘 ZH OU3
迁 Q IAN1
镇 ZH EN4
佞 N ING4
莼 CH UN2
潞 L U4
弯 UU UAN1
疯 F ENG1
陂 B EI1
殂 C U2
盍 H E2
腚 D ING4
莱 L AI2
爽 SH UANG3
詹 ZH AN1
砜 F ENG1
陏 S UI2
觏 G OU4
狨 R ONG2
彴 ZH UO2
廀 S OU1
偲 S IY1
潲 SH AO4
䜣 X IN1
侣 L V3
浩 H AO4
若 R UO4
忛 F AN1
蕲 Q I2
蚧 J IE4
瑭 T ANG2
追 ZH UI1
屼 UU U4
判 P AN4
妪 VV V4
佷 H EN3
牢 L AO2
荑 T I2
钦 Q IN1
蛞 K UO4
州 ZH OU1
吓 H E4
瑷 AA AI4
苞 B AO1
溱 ZH EN1
纰 P I1
汏 D A4
铖 CH ENG2
黩 D U2
抜 B A2
窖 J IAO4
买 M AI3
脿 B IAO1
佧 K A3
奄 II IAN3
髌 B IN4
炁 Q I4
沮 J V3
嬾 L AN3
钍 T U3
疼 T ENG2
髟 B IAO1
乳 R U3
颗 K E1
没 M EI2
珳 UU UN2
婪 L AN2
嘻 X I1
迢 T IAO2
铌 N I2
喎 UU UAI1
唣 Z AO4
喳 CH A1
哂 SH EN3
按 AA AN4
腮 S AI1
趿 T A1
喔 OO O1
槟 B ING1
桫 S UO1
筼 VV VN2
盼 P AN4
痉 J ING4
丑 CH OU3
假 J IA3
镨 P U3
舣 II I3
洌 L IE4
蒗 L ANG4
备 B EI4
疴 K E1
纷 F EN1
轧 II IA4
剃 T I4
褐 H E4
汐 X I1
踝 H UAI2
急 J I2
蛤 G E2
叫 J IAO4
涤 D I2
铵 AA AN3
谪 ZH E2
揍 Z OU4
鳎 T A3
阂 H E2
刬 CH AN3
惑 H UO4
痫 X IAN2
辫 B IAN4
坊 F ANG1
鄠 H U4
阀 F A2
垈 D AI4
稹 ZH EN3
欵 K UAN3
饯 J IAN4
燮 X IE4
廷 T ING2
邡 F ANG1
裆 D ANG1
姊 Z IY3
叒 R UO4
涌 II IONG3
嘣 B ENG1
梠 L V3
极 J I2
频 P IN2
澜 L AN2
枭 X IAO1
羌 Q IANG1
衍 II IAN3
仰 II IANG3
懒 L AN3
兼 J IAN1
袷 J IA2
垦 K EN3
S EE EI1 S IY1
攻 G ONG1
遭 Z AO1
脚 J IAO3
讪 SH AN4
弇 II IAN3
呸 P EI1
唤 H UAN4
玻 B O1
敢 G AN3
菏 H E2
雍 II IONG1
溅 J IAN4
容 R ONG2
鍪 M OU2
姬 J I1
嫌 X IAN2
稷 J I4
脘 UU UAN3
缣 J IAN1
帜 ZH IX4
窀 ZH UN1
浐 CH AN3
绵 M IAN2
鸵 T UO2
虮 J I3
邋 L A1
娩 M IAN3
麓 L U4
詀 ZH AN1
饱 B AO3
变 B IAN4
酾 SH IX1
把 B A3
巡 X VN2
扩 K UO4
俵 B IAO3
阡 Q IAN1
欸 AA AI3
秤 CH ENG1
氺 SH UI3
娥 EE E2
咎 J IU4
祥 X IANG2
饽 B O1
引 II IN3
鞯 J IAN1
遴 L IN2
肿 ZH ONG3
伢 II IA2
岀 CH U1
负 F U4
擎 Q ING2
偿 CH ANG2
L EE EI1 EE E5
彀 G OU4
沃 UU UO4
盏 ZH AN3
豫 VV V4
妇 F U4
膛 T ANG2
岐 Q I2
得 D E2
牠 T A1
转 ZH UAN3
媕 AA AN1
苇 UU UI3
涑 S U4
礞 M ENG2
汁 ZH IX1
労 L AO2
佼 J IAO3
郁 VV V4
次 C IY4
汆 C UAN1
丷 B A1
襞 B I4
栋 D ONG4
叁 S AN1
宏 H ONG2
腺 X IAN4
舂 CH ONG1
拙 ZH UO1
鞘 Q IAO4
慝 T E4
阕 Q VE4
划 H UA2
蓿 X V4
抽 CH OU1
凯 K AI3
咕 G U1
锏 J IAN3
陋 L OU4
绮 Q I3
奕 II I4
挛 L UAN2
才 C AI2
蠎 M ANG3
棸 Z OU1
隽 J VAN4
贯 G UAN4
凶 X IONG1
猷 II IU2
喜 X I3
巣 CH AO2
镞 Z U2
C S EI1
仂 L E4
著 ZH U4
海 H AI3
城 CH ENG2
霄 X IAO1
筚 B I4
谭 T AN2
旃 ZH AN1
灯 D ENG1
椮 S EN1
K K IE4
噫 II I1
暖 N UAN3
慱 T UAN2
呈 CH ENG2
箔 B O2
刘 L IU2
焊 H AN4
貍 L I2
研 II IAN2
砖 ZH UAN1
刊 K AN1
疆 J IANG1
弎 S AN1
栟 B ING1
怀 H UAI2
亓 Q I2
倬 ZH UO1
绰 CH AO1
鳇 H UANG2
俄 EE E2
久 J IU3
泠 L ING2
荚 J IA2
遁 D UN4
漯 T A4
镥 L U3
借 J IE4
裢 L IAN2
委 UU UI3
尉 UU UI4
瓞 D IE2
荛 R AO2
茶 CH A2
餸 S ONG4
昃 Z E4
洺 M ING2
脐 Q I2
认 R EN4
啍 T UN1
囘 H UI2
缂 K E4
回 H UI2
暑 SH U3
砺 L I4
镙 L UO2
贫 P IN2
摔 SH UAI1
涣 H UAN4
孱 C AN4
幰 X IAN3
萼 EE E4
垤 D IE2
选 X VAN3
肇 ZH AO4
暮 M U4
圏 Q VAN1
服 F U2
翼 II I4
功 G ONG1
默 M O4
喯 B EN1
饦 T UO1
鄞 II IN2
掸 D AN3
黒 H EI1
铯 S E4
瑰 G UI1
梆 B ANG1
踔 CH UO1
袄 AA AO3
筠 VV VN2
年 N IAN2
度 D U4
纹 UU UN2
土 T U3
涠 UU UI2
澴 H UAN2
混 H UN2
想 X IANG3
馁 N EI3
悬 X VAN2
蓝 L AN2
裸 L UO3
吊 D IAO4
煆 X IA1
揶 II IE2
娆 R AO2
熔 R ONG2
呀 II IA5
阵 ZH EN4
色 S E4
侵 Q IN1
杯 B EI1
婵 CH AN2
谊 II I4
囤 D UN4
芮 R UI4
惬 Q IE4
虀 J I1
弍 EE ER4
圹 K UANG4
绖 D IE2
藻 Z AO3
绻 Q VAN3
柝 T UO4
役 II I4
膺 II ING1
鐄 H ENG2
攷 K AO3
H EE EI1 Q U1
总 Z ONG3
鸧 C ANG1
擤 X ING3
岚 L AN2
霁 J I4
囲 UU UI2
蓄 X V4
遘 G OU4
逝 SH IX4
熤 II I4
戾 L I4
旭 X V4
硒 X I1
音 II IN1
凑 C OU4
掏 T AO1
麋 M I2
输 SH U1
口 K OU3
葬 Z ANG4
竭 J IE2
両 L IANG3
压 II IA1
砟 ZH A3
耋 D IE2
届 J IE4
拆 CH AI1
熨 VV V4
咆 P AO2
汧 Q IAN1
通 T ONG1
哄 H ONG1
彝 II I2
珊 SH AN1
鬓 B IN4
繁 F AN2
筘 K OU4
俪 L I4
B B I4
旗 Q I2
翁 UU UENG1
赳 J IU1
秒 M IAO3
鳗 M AN2
管 G UAN3
苗 M IAO2
觳 H U2
痛 T ONG4
熛 B IAO1
嚓 C A1
龄 L ING2
怼 D UI4
杝 II I2
牧 M U4
琰 II IAN3
庹 T UO3
啪 P A1
鳃 S AI1
祓 F U2
隐 II IN3
冈 G ANG1
漓 L I2
熵 SH ANG1
耕 G ENG1
龅 B AO1
琪 Q I2
灸 J IU3
瑶 II IAO2
斡 UU UO4
髁 K E1
魉 L IANG3
痤 C UO2
散 S AN3
巯 Q IU2
訧 II IU2
燃 R AN2
熳 M AN4
拖 T UO1
恫 D ONG4
忡 CH ONG1
垣 VV VAN2
鸳 VV VAN1
泜 ZH IX1
虬 Q IU2
衎 K AN4
棹 ZH UO1
祝 ZH U4
蠹 D U4
羰 T ANG1
営 II ING2
瓦 UU UA3
啦 L A5
粿 G UO3
缈 M IAO3
匸 X I4
珵 CH ENG2
曽 C ENG2
粤 VV VE4
岸 AA AN4
沛 P EI4
菩 P U2
茨 C IY2
搏 B O2
心 X IN1
吭 H ANG2
诹 Z OU1
盥 G UAN4
揭 J IE1
耦 OO OU3
麻 M A2
像 X IANG4
埴 ZH IX2
厮 S IY1
刈 II I4
讳 H UI4
嗍 S UO1
砂 SH A1
螃 P ANG2
Y UU UAI1
铳 CH ONG4
殓 L IAN4
舶 B O2
捡 J IAN3
黧 L I2
敺 Q V1
钭 T OU3
晟 CH ENG2
渥 UU UO4
噩 EE E4
仄 Z E4
妃 F EI1
萹 B IAN1
藿 H UO4
琬 UU UAN3
蟋 X I1
砸 Z A2
亡 UU UANG2
伫 ZH U4
朐 Q V2
熘 L IU1
湜 SH IX2
嬛 H UAN2
洸 G UANG1
摘 ZH AI1
砗 CH E1
膦 L IN4
碣 J IE2
愚 VV V2
蓥 II ING2
咘 B U4
魍 UU UANG3
栌 L U2
苑 VV VAN4
噤 J IN4
涢 VV VN2
鐩 S UI4
决 J VE2
孳 Z IY1
伯 B O2
醇 CH UN2
貂 D IAO1
踹 CH UAI4
碧 B I4
缆 L AN3
哑 II IA3
仆 P U1
罐 G UAN4
晶 J ING1
洱 EE ER3
侈 CH IX3
桐 T ONG2
巾 J IN1
仿 F ANG3
络 L AO4
锚 M AO2
芾 F EI4
盾 D UN4
者 ZH E3
猴 H OU2
淮 H UAI2
碓 D UI4
柴 CH AI2
踉 L IANG2
樊 F AN2
皆 J IE1
凫 F U2
桷 J VE2
戬 J IAN3
埘 SH IX2
卐 UU UAN4
铿 K ENG1
砾 L I4
槪 G AI4
署 SH U3
枞 C ONG1
蕉 J IAO1
蔌 S U4
欹 II I1
繐 S UI4
圞 L UAN2
赊 SH E1
骟 SH AN4
冤 VV VAN1
馍 M O2
埯 AA AN3
霤 L IU4
孖 Z IY1
碌 L IU4
地 D E5
司 S IY1
蹁 P IAN2
挝 ZH UA1
穸 X I1
囡 N AN1
苤 P IE3
礼 L I3
礤 C A3
恣 Z IY4
寤 UU U4
制 ZH IX4
疥 J IE4
漩 X VAN2
亼 J I2
茑 N IAO3
戡 K AN1
凛 L IN3
川 CH UAN1
裾 J V1
趄 J V1
圧 II IA1
阎 II IAN2
蜊 L I2
税 SH UI4
苟 G OU3
陛 B I4
批 P I1
恸 T ONG4
筜 D ANG1
丌 J I1
尴 G AN1
紧 J IN3
勐 M ENG3
锅 G UO1
旌 J ING1
弗 F U2
徙 X I3
岛 D AO3
塔 T A3
贲 B I4
徜 CH ANG2
祈 Q I2
站 ZH AN4
楸 Q IU1
祉 ZH IX3
玭 P IN2
阈 VV V4
鄘 II IONG1
甁 P ING2
赭 ZH E3
甭 B ENG2
扱 X I1
抬 T AI2
娌 L I3
凵 K AN3
揽 L AN3
凭 P ING2
傔 Q IAN4
寺 S IY4
愦 K UI4
酡 T UO2
诲 H UI4
贸 M AO4
蘑 M O2
岷 M IN2
袒 T AN3
抵 D I3
嫩 N EN4
过 G UO4
钤 Q IAN2
阍 H UN1
弧 H U2
芬 F EN1
彼 B I3
昼 ZH OU4
斌 B IN1
烫 T ANG4
桨 J IANG3
盐 II IAN2
滓 Z IY3
淫 II IN2
闭 B I4
珑 L ONG2
蚳 CH IX2
恏 H AO4
宪 X IAN4
粉 F EN3
扦 Q IAN1
超 CH AO1
晰 X I1
觑 Q V4
给 G EI3
花 H UA1
稽 J I1
呒 F U3
噢 OO O1
蹄 T I2
茆 M AO2
页 II IE4
屠 T U2
飓 J V4
别 B IE2
柒 Q I1
等 D ENG3
豋 D ENG1
驵 Z ANG3
O OO OU1
酚 F EN1
团 T UAN2
氓 M ANG2
饣 SH IX2
祼 G UAN4
症 ZH ENG4
峣 II IAO2
呤 L ING2
晔 II IE4
钴 G U3
麝 SH E4
茕 Q IONG2
鲍 B AO4
蒸 ZH ENG1
六 L IU4
恃 SH IX4
隰 X I2
了 L E5
耿 G ENG3
郅 ZH IX4
做 Z UO4
属 SH U3
肢 ZH IX1
沼 ZH AO3
咫 ZH IX3
崧 S ONG1
琅 L ANG2
叙 X V4
聚 J V4
仈 B A1
攴 P U1
丄 SH ANG4
嘤 II ING1
醋 C U4
煊 X VAN1
昫 X V4
晷 G UI3
线 X IAN4
洇 II IAN1
徼 J IAO3
革 G E2
癖 P I3
暹 X IAN1
耪 P ANG3
镫 D ENG4
癣 X VAN3
邱 Q IU1
缫 S AO1
酆 F ENG1
俗 S U2
